year,month,code, NI , Dep , gain_on_disposition , loss_of_disposition , gain_on_appreciation , loss_of_appreciation , gain_on_others , looss_of_others , FFO ,,,code,, dividend , dps ,
2022,6,350520," 24,201,936,372 ", - , - , - ," 27,832,916,000 "," 4,921,417,000 ",,," 1,290,437,372 ",-0.1797790156 ,-0.3268533736 ,350520,," 2,740,000,000 ", 133 ,
2022,12,350520," 62,734,177,923 ", - , - , - ," 61,896,284,000 "," 641,826,000 ",,," 1,479,719,923 ", 0.1466809278 ,-0.0594682406 ,350520,," 3,772,000,000 ", 133 ,
2023,6,350520," 7,817,972,365 ", - , - , - ," 8,312,925,000 "," 4,330,418,000 ",,," 3,835,465,365 ", 1.5920211693 , 1.9722212393 ,350520,"법인세비용++, 배당수익++, 수수료--"," 3,772,000,000 ", 133 ,
2023,12,350520," 7,630,769,905 ", - , - , - ," 15,164,013,000 "," 8,242,949,000 ",,," 709,705,905 ",-0.8149622438 ,-0.5203782189 ,350520,배당수익--. 금융비용++++," 3,772,000,000 ", 133 ,
2024,6,350520," 33,710,015,120 ", - , - , - ," 39,619,856,000 "," 3,698,436,000 ",,,"-2,211,404,880 ",-4.1159454422 ,-1.5765675530 ,350520,"배당수익----, 높아진 금융비용 유지"," 4,254,000,000 ", 150 ,
2024,12,350520," 9,285,179,114 ", - ," 381,549,000 ", - ," 13,309,235,000 "," 7,365,825,000 ",,," 2,960,220,114 ",-2.3386151676 , 3.1710518303 ,350520,"배당수익++++, 금융비용 소폭 감소"," 5,530,000,000 ", 150 ,
2025,6,350520," 3,472,731,645 ", - ," 151,389,000 ", - ," 9,517,591,000 "," 5,584,288,000 ",,,"-611,960,355 ",-1.2067279903 ,-0.7232707766 ,350520,배당수익----," 5,530,000,000 ", 150 ,
2021,5,357120," 9,288,380,162 "," 2,317,700,000 ", - , - ,,,,," 11,606,080,162 ",-19.9654118395 , 2.9206814747 ,357120,," 11,606,000,000 ", 166 ,
2021,11,357120," 20,249,161,358 "," 1,949,040,000 "," 17,974,954,000 ", - ,," 1,272,523,000 ",," 4,580,817,000 "," 10,076,587,358 ",-0.1317837532 ,-17.4660786858 ,357120,," 22,198,000,000 ", 319 ,
2022,5,357120," 12,958,406,101 "," 2,725,724,000 "," 3,337,236,000 "," 56,588,000 ",,,,," 12,403,482,101 ", 0.2309209120 , 0.0687055343 ,357120,," 15,684,000,000 ", 177 ,
2022,11,357120," 11,548,987,502 "," 4,016,847,000 "," 2,293,181,000 ", - ,," 937,602,000 ",,," 14,210,255,502 ", 0.1456666270 , 0.4102250094 ,357120,," 15,566,000,000 ", 175 ,
2023,5,357120," 13,700,708,129 "," 4,034,536,000 "," 5,229,608,000 ", - ,," 1,038,392,000 ",,," 13,544,028,129 ",-0.0468835605 , 0.0919536964 ,357120,," 17,735,000,000 ", 200 ,
2023,11,357120," 10,740,823,332 "," 4,118,205,000 ", - ," 1,038,392,000 ",,,,," 15,897,420,332 ", 0.1737586618 , 0.1187286766 ,357120,," 14,859,000,000 ", 168 ,
2024,5,357120," 11,889,851,488 "," 3,990,113,000 "," 1,914,253,000 "," 602,409,000 "," 1,006,595,000 ",,,," 13,561,525,488 ",-0.1469354647 , 0.0012918874 ,357120,," 14,873,000,000 ", 168 ,
2024,11,357120," 23,754,780,543 "," 4,118,356,000 "," 13,257,182,000 "," 508,841,000 "," 3,655,685,000 ",,," 1,693,381,000 "," 13,162,491,543 ",-0.0294239719 ,-0.1720360116 ,357120,," 24,217,000,000 ", 249 ,
2025,5,357120," 12,267,643,841 "," 4,125,835,000 "," 739,033,000 "," 169,119,000 ",,,,," 15,823,564,841 ", 0.2021709408 , 0.1667982968 ,357120,," 15,891,000,000 ", 163 ,
2021,5,357250," 1,188,458,437 "," 1,685,565,000 ", - , - ,,,,," 2,874,023,437 ",-0.8183706727 ,-0.7816505008 ,357250,," 3,075,000,000 ", 153 ,
2021,11,357250," 583,611,374 "," 1,694,825,000 ", - , - ,,,,," 2,278,436,374 ",-0.2072311086 ,-0.8560099196 ,357250,," 2,432,000,000 ", 121 ,
2022,5,357250," 1,318,817,047 "," 1,685,565,000 ", - , - ,,,,," 3,004,382,047 ", 0.3186157319 , 0.0453575320 ,357250,," 3,015,000,000 ", 150 ,
2022,11,357250," 633,285,547 "," 1,694,826,000 ", - , - ,,,,," 2,328,111,547 ",-0.2250947081 , 0.0218023086 ,357250,," 2,713,000,000 ", 135 ,
2023,5,357250," 1,422,403,966 "," 1,685,565,000 ", - , - ,,,,," 3,107,968,966 ", 0.3349742498 , 0.0344786107 ,357250,," 3,095,000,000 ", 154 ,
2023,11,357250," 5,581,111,973 "," 1,694,826,000 ", - , - ,,," 4,843,372,470 ",," 2,432,565,503 ",-0.2173134514 , 0.0448663880 ,357250,," 2,733,000,000 ", 136 ,
2024,5,357250," 1,833,329,662 "," 1,694,827,000 ", - , - ,,,,," 3,528,156,662 ", 0.4503850596 , 0.1351968764 ,357250,," 3,799,000,000 ", 152 ,
2024,11,357250," 1,534,555,756 "," 1,694,825,000 ", - , - ,,,,," 3,229,380,756 ",-0.0846832878 , 0.3275616842 ,357250,," 3,299,000,000 ", 132 ,
2025,5,357250," 1,738,185,146 "," 1,685,565,000 ", - , - ,,,,," 3,423,750,146 ", 0.0601878207 ,-0.0295923696 ,357250,," 3,424,000,000 ", 137 ,
2022,9,357430," 812,788,175 "," 544,916,873 ",,,," 752,618,830 ",,," 2,110,323,878 ",-0.3836221138 ,-0.3465236720 ,357430,," 2,963,000,000 ", 111 ,
2023,3,357430," 683,704,995 "," 630,346,865 ",,,," 2,127,818,737 ",,," 3,441,870,597 ", 0.6309679442 , 0.0052925740 ,357430,," 4,053,000,000 ", 152 ,
2023,9,357430,"-5,544,449,504 "," 657,720,738 ",,,," 7,675,874,843 ",,," 2,789,146,077 ",-0.1896423766 , 0.3216673071 ,357430,," 4,067,000,000 ", 153 ,
2024,3,357430,"-11,001,031,390 "," 632,482,495 ",,,," 11,952,203,515 ",," 438,533,150 "," 2,022,187,770 ",-0.2749796123 ,-0.4124742017 ,357430,," 2,305,000,000 ", 86 ,
2024,9,357430," 1,474,073,916 "," 658,880,833 ",,," 1,117,766,924 "," 840,276,619 ",,," 1,855,464,444 ",-0.0824470054 ,-0.3347553722 ,357430,금융비용++," 1,173,000,000 ", 44 ,
2025,3,357430,"-12,218,111,178 "," 690,072,572 ",,,," 12,516,030,959 ",,," 987,992,353 ",-0.4675228856 ,-0.5114240291 ,357430,금융비용++++," 1,861,000,000 ", 61 ,
2021,5,365550," 5,409,251,855 "," 5,906,579,000 ", - , - ," 660,328,000 ",," 2,629,803,163 ",," 8,025,699,692 ", 7.1232406988 , 3.3254397668 ,365550,지분법이익 제거: 이하 동일한 처리," 19,264,000,000 ", 134 ,
2021,11,365550," 9,485,403,543 "," 7,682,730,000 ", - , - ,,," 4,335,196,130 ",," 12,832,937,413 ", 0.5989805133 , 11.9889035821 ,365550,," 19,197,000,000 ", 134 ,
2022,5,365550," 30,175,271,482 "," 13,066,668,000 ", - , - ,,," 21,767,627,072 ",," 21,474,312,410 ", 0.6733746701 , 1.6756934889 ,365550,," 28,554,000,000 ", 134 ,
2022,11,365550," 12,762,281,756 "," 13,767,305,000 ", - , - ,,," 5,042,759,149 ",," 21,486,827,607 ", 0.0005827985 , 0.6743499104 ,365550,," 28,980,000,000 ", 136 ,
2023,5,365550," 28,013,768,456 "," 13,823,988,000 ", - , - ,,," 16,853,346,484 ",," 24,984,409,972 ", 0.1627779786 , 0.1634556439 ,365550,금융수익++," 28,767,000,000 ", 135 ,
2023,11,365550," 11,852,472,755 "," 14,838,283,000 ", - , - ,,," 5,563,022,248 ",," 21,127,733,507 ",-0.1543633197 ,-0.0167122903 ,365550,금융비용++," 29,193,000,000 ", 137 ,
2024,5,365550," 22,534,060,750 "," 15,595,427,000 ", - , - ,,," 18,150,466,752 ",," 19,979,020,998 ",-0.0543698882 ,-0.2003404915 ,365550,금융비용++++," 29,193,000,000 ", 137 ,
