VALUESearch - ETF정보 / A476800.삼성 KODEX 한국부동산리츠인프라부동산상장지수투자신탁[재간접형],,,,,,,,,,,,Report as of : 2025-11-23
기준일자,시가,고가,저가,종가,거래량,거래대금,상장주식수,1개월수익률,3개월수익률,6개월수익률,1년수익률,상장후수익률
,"5,240.  ","5,250.  ","5,195.  ","5,220.  ","1,014,684.  ","5,291,233,225.  ","20,150,000.  ",.  ,.02  ,.03  ,.06  ,.02  
,"5,230.  ","5,230.  ","5,195.  ","5,215.  ","1,203,189.  ","6,266,694,185.  ","20,200,000.  ",-.01  ,.02  ,.03  ,.05  ,.02  
,"5,225.  ","5,240.  ","5,180.  ","5,190.  ","1,193,181.  ","6,212,052,375.  ","20,400,000.  ",-.01  ,.01  ,.03  ,.05  ,.01  
,"5,195.  ","5,200.  ","5,150.  ","5,155.  ","910,489.  ","4,709,564,900.  ","20,600,000.  ",-.02  ,.  ,.02  ,.04  ,.  
,"5,145.  ","5,150.  ","5,055.  ","5,075.  ","1,081,708.  ","5,522,012,775.  ","20,600,000.  ",-.04  ,-.01  ,.01  ,.03  ,-.01  
,"5,070.  ","5,080.  ","5,015.  ","5,030.  ","1,120,262.  ","5,657,329,535.  ","20,500,000.  ",-.04  ,-.02  ,-.01  ,.02  ,-.02  
,"5,040.  ","5,065.  ","5,010.  ","5,050.  ","981,940.  ","4,940,781,920.  ","20,500,000.  ",-.04  ,-.01  ,.  ,.02  ,-.02  
,"5,070.  ","5,070.  ","4,985.  ","4,985.  ","1,161,313.  ","5,839,542,810.  ","21,050,000.  ",-.05  ,-.02  ,-.01  ,.01  ,-.03  
,"5,005.  ","5,045.  ","4,995.  ","5,040.  ","862,405.  ","4,333,400,680.  ","21,150,000.  ",-.04  ,-.01  ,.01  ,.02  ,-.02  
,"5,045.  ","5,085.  ","5,035.  ","5,070.  ","909,572.  ","4,616,953,295.  ","21,700,000.  ",-.04  ,-.01  ,.03  ,.02  ,-.01  
,"5,040.  ","5,080.  ","5,035.  ","5,080.  ","774,853.  ","3,922,692,185.  ","22,400,000.  ",-.03  ,.  ,.03  ,.03  ,-.01  
,"5,090.  ","5,110.  ","5,080.  ","5,090.  ","872,655.  ","4,445,868,405.  ","22,400,000.  ",-.02  ,.  ,.04  ,.04  ,-.01  
,"5,095.  ","5,095.  ","5,055.  ","5,055.  ","761,312.  ","3,870,939,315.  ","22,400,000.  ",-.03  ,-.01  ,.05  ,.03  ,-.02  
,"5,055.  ","5,085.  ","5,055.  ","5,075.  ","794,183.  ","4,026,385,815.  ","23,400,000.  ",-.03  ,-.02  ,.05  ,.03  ,-.01  
,"5,080.  ","5,080.  ","5,045.  ","5,055.  ","820,650.  ","4,153,909,115.  ","23,550,000.  ",-.03  ,-.02  ,.04  ,.03  ,-.02  
,"5,065.  ","5,070.  ","5,045.  ","5,065.  ","750,101.  ","3,789,575,975.  ","23,550,000.  ",-.03  ,-.02  ,.05  ,.03  ,-.01  
,"5,055.  ","5,060.  ","5,005.  ","5,025.  ","962,834.  ","4,843,823,910.  ","23,600,000.  ",-.04  ,-.03  ,.03  ,.02  ,-.02  
,"5,025.  ","5,040.  ","4,995.  ","5,005.  ","868,810.  ","4,361,914,980.  ","23,700,000.  ",-.04  ,-.03  ,.02  ,.02  ,-.03  
,"5,005.  ","5,010.  ","4,985.  ","4,990.  ","789,453.  ","3,941,261,015.  ","23,850,000.  ",-.04  ,-.04  ,.01  ,.02  ,-.03  
,"5,000.  ","5,000.  ","4,915.  ","4,920.  ","1,101,372.  ","5,465,229,705.  ","23,900,000.  ",-.05  ,-.05  ,.  ,.  ,-.04  
,"4,925.  ","4,935.  ","4,855.  ","4,880.  ","1,081,619.  ","5,273,711,595.  ","24,050,000.  ",-.05  ,-.06  ,-.01  ,-.01  ,-.05  
,"4,910.  ","4,910.  ","4,885.  ","4,905.  ","747,281.  ","3,659,825,355.  ","24,100,000.  ",-.05  ,-.06  ,.  ,.  ,-.04  
,"4,905.  ","4,905.  ","4,845.  ","4,870.  ","867,729.  ","4,220,642,965.  ","24,450,000.  ",-.05  ,-.08  ,-.01  ,-.01  ,-.05  
,"4,870.  ","4,900.  ","4,850.  ","4,900.  ","725,344.  ","3,546,878,985.  ","24,450,000.  ",-.04  ,-.08  ,-.01  ,.  ,-.05  
,"4,895.  ","4,895.  ","4,860.  ","4,870.  ","648,546.  ","3,158,847,060.  ","24,450,000.  ",-.05  ,-.09  ,-.02  ,-.01  ,-.05  
,"4,875.  ","4,875.  ","4,820.  ","4,830.  ","953,857.  ","4,607,878,775.  ","24,600,000.  ",-.03  ,-.08  ,-.02  ,-.02  ,-.06  
